epoch,train_loss,val_psnr_y,lr,time
1,0.031631,30.5519,1.000000e-03,1756531626
2,0.027573,30.7559,1.000000e-03,1756531840
3,0.026239,30.4670,1.000000e-03,1756532054
4,0.025840,30.3263,1.000000e-03,1756532259
5,0.025256,30.7997,1.000000e-03,1756532462
6,0.025079,30.7511,1.000000e-03,1756532663
7,0.024661,30.5846,1.000000e-03,1756533319
8,0.024538,30.8201,1.000000e-03,1756533527
9,0.024559,30.8073,1.000000e-03,1756533733
10,0.024455,30.8292,1.000000e-03,1756533939
11,0.024413,30.6976,1.000000e-03,1756534146
12,0.024340,30.8570,1.000000e-03,1756534353
13,0.024541,30.9511,1.000000e-03,1756534561
14,0.024324,30.9844,1.000000e-03,1756534768
15,0.024214,30.9366,1.000000e-03,1756534977
16,0.024195,30.8255,1.000000e-03,1756535184
17,0.024182,30.7107,1.000000e-03,1756535392
18,0.024179,30.8233,1.000000e-03,1756535601
19,0.024255,30.7229,1.000000e-03,1756535811
20,0.024083,30.7463,5.000000e-04,1756536017
21,0.023913,30.8267,5.000000e-04,1756536224
22,0.023796,30.8726,5.000000e-04,1756536433
23,0.023875,30.8266,5.000000e-04,1756536641
24,0.023760,30.8558,5.000000e-04,1756536849
25,0.023519,30.8683,5.000000e-04,1756537054
26,0.023894,30.7859,2.500000e-04,1756537273
27,0.023575,30.8390,2.500000e-04,1756537482
28,0.023659,30.6774,2.500000e-04,1756537689
29,0.023862,30.8007,2.500000e-04,1756537896
